sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src
충청북도,충주,209638,36.9910113,127.9259497,충청북도 충주,33,11,https://tong.visitkorea.or.kr/cms/resource/86/2392686_image2_1.jpg
충청북도,제천,132313,37.1325821,128.19094809999999,충청북도 제천,33,7,https://tong.visitkorea.or.kr/cms/resource/60/489560_image2_1.jpg
충청북도,보은,32096,36.4894573,127.7294827,충청북도 보은,33,3,https://tong.visitkorea.or.kr/cms/resource/58/1731558_image2_1.jpg
충청북도,옥천,50282,36.3063646,127.57128090000002,충청북도 옥천,33,5,https://tong.visitkorea.or.kr/cms/resource/86/2721486_image2_1.JPG
충청북도,영동,46316,36.175023100000004,127.78343020000001,충청북도 영동,33,4,https://tong.visitkorea.or.kr/cms/resource/86/764686_image2_1.jpg
충청북도,증평,36499,36.7855019,127.58165559999999,충청북도 증평,33,12,https://tong.visitkorea.or.kr/cms/resource/01/2005001_image2_1.jpg
충청북도,진천,84746,36.855379799999994,127.43611170000001,충청북도 진천,33,8,https://tong.visitkorea.or.kr/cms/resource/87/1332387_image2_1.jpg
충청북도,괴산,37337,36.815669,127.7865791,충청북도 괴산,33,1,https://tong.visitkorea.or.kr/cms/resource/91/731391_image2_1.jpg
충청북도,음성,92232,36.9396792,127.69050179999999,충청북도 음성,33,6,https://tong.visitkorea.or.kr/cms/resource/49/1079349_image2_1.jpg
충청북도,단양,28652,36.9845473,128.3655186,충청북도 단양,33,2,https://tong.visitkorea.or.kr/cms/resource/92/2613292_image2_1.jpg
충청남도,당진,166754,36.8936109,126.6283278,충청남도 당진,34,4,https://tong.visitkorea.or.kr/cms/resource/20/1932520_image2_1.jpg
충청남도,천안,657503,36.815129,127.11389390000001,충청남도 천안,34,12,https://tong.visitkorea.or.kr/cms/resource/22/565822_image2_1.jpg
충청남도,공주,103640,36.4465346,127.1191534,충청남도 공주,34,1,https://tong.visitkorea.or.kr/cms/resource/77/1600077_image2_1.jpg
