,0,1
2956,"('경상남도', '진주')","('경기도', '오산')"
2957,"('경기도', '오산')","('경상남도', '진주')"
2958,"('경상남도', '진주')","('경기도', '수원')"
2959,"('경기도', '수원')","('경상남도', '진주')"
2960,"('경상남도', '진주')","('충청남도', '홍성')"
2961,"('충청남도', '홍성')","('경상남도', '진주')"
2962,"('경상남도', '진주')","('경상북도', '문경')"
2963,"('경상북도', '문경')","('경상남도', '진주')"
2964,"('경상남도', '진주')","('전라남도', '장흥')"
2965,"('전라남도', '장흥')","('경상남도', '진주')"
2966,"('경상남도', '진주')","('전라북도', '남원')"
2967,"('전라북도', '남원')","('경상남도', '진주')"
2968,"('경상남도', '진주')","('전라남도', '담양')"
2969,"('전라남도', '담양')","('경상남도', '진주')"
2970,"('경상남도', '진주')","('전라남도', '구례')"
2971,"('전라남도', '구례')","('경상남도', '진주')"
2972,"('경상남도', '진주')","('전라남도', '신안')"
2973,"('전라남도', '신안')","('경상남도', '진주')"
2974,"('경상남도', '진주')","('경상북도', '영덕')"
2975,"('경상북도', '영덕')","('경상남도', '진주')"
2976,"('경상남도', '진주')","('강원도', '삼척')"
2977,"('강원도', '삼척')","('경상남도', '진주')"
2978,"('경상남도', '진주')","('경기도', '부천')"
2979,"('경기도', '부천')","('경상남도', '진주')"
2980,"('경상남도', '진주')","('전라남도', '무안')"
2981,"('전라남도', '무안')","('경상남도', '진주')"
2982,"('경상남도', '진주')","('부산', '부산')"
2983,"('부산', '부산')","('경상남도', '진주')"
2984,"('경상남도', '진주')","('강원도', '원주')"
2985,"('강원도', '원주')","('경상남도', '진주')"
2986,"('경상남도', '진주')","('전라남도', '영암')"
2987,"('전라남도', '영암')","('경상남도', '진주')"
2988,"('경상남도', '진주')","('강원도', '동해')"
2989,"('강원도', '동해')","('경상남도', '진주')"
2990,"('경상남도', '진주')","('충청남도', '태안')"
2991,"('충청남도', '태안')","('경상남도', '진주')"
2992,"('경상남도', '진주')","('경상북도', '안동')"
2993,"('경상북도', '안동')","('경상남도', '진주')"
2994,"('경상남도', '진주')","('충청남도', '서산')"
2995,"('충청남도', '서산')","('경상남도', '진주')"
2996,"('경상남도', '진주')","('충청남도', '당진')"
2997,"('충청남도', '당진')","('경상남도', '진주')"
2998,"('경상남도', '진주')","('경기도', '성남')"
2999,"('경기도', '성남')","('경상남도', '진주')"
3000,"('경상남도', '진주')","('충청남도', '공주')"
3001,"('충청남도', '공주')","('경상남도', '진주')"
3002,"('경상남도', '진주')","('충청북도', '제천')"
3003,"('충청북도', '제천')","('경상남도', '진주')"
3004,"('경상남도', '진주')","('전라북도', '정읍')"
3005,"('전라북도', '정읍')","('경상남도', '진주')"
3006,"('경상남도', '진주')","('경상북도', '영주')"
3007,"('경상북도', '영주')","('경상남도', '진주')"
3008,"('경상남도', '진주')","('전라남도', '화순')"
3009,"('전라남도', '화순')","('경상남도', '진주')"
3010,"('경상남도', '진주')","('경기도', '고양')"
3011,"('경기도', '고양')","('경상남도', '진주')"
3012,"('경상남도', '진주')","('충청북도', '증평')"
3013,"('충청북도', '증평')","('경상남도', '진주')"
