,0,1
2033,"('경상남도', '하동')","('전라남도', '순천')"
2034,"('전라남도', '순천')","('충청남도', '아산')"
2035,"('충청남도', '아산')","('전라남도', '순천')"
2036,"('전라남도', '순천')","('전라남도', '광양')"
2037,"('전라남도', '광양')","('전라남도', '순천')"
2038,"('전라남도', '순천')","('경상북도', '구미')"
2039,"('경상북도', '구미')","('전라남도', '순천')"
2040,"('전라남도', '순천')","('경상북도', '영주')"
2041,"('경상북도', '영주')","('전라남도', '순천')"
2042,"('전라남도', '순천')","('강원도', '영월')"
2043,"('강원도', '영월')","('전라남도', '순천')"
2044,"('전라남도', '순천')","('충청남도', '서천')"
2045,"('충청남도', '서천')","('전라남도', '순천')"
2046,"('전라남도', '순천')","('충청남도', '논산')"
2047,"('충청남도', '논산')","('전라남도', '순천')"
2048,"('전라남도', '순천')","('전라남도', '여수')"
2049,"('전라남도', '여수')","('전라남도', '순천')"
2050,"('전라남도', '순천')","('경상남도', '사천')"
2051,"('경상남도', '사천')","('전라남도', '순천')"
2052,"('전라남도', '순천')","('전라북도', '남원')"
2053,"('전라북도', '남원')","('전라남도', '순천')"
2054,"('전라남도', '순천')","('전라북도', '전주')"
2055,"('전라북도', '전주')","('전라남도', '순천')"
2056,"('전라남도', '순천')","('울산', '울산')"
2057,"('울산', '울산')","('전라남도', '순천')"
2058,"('전라남도', '순천')","('전라북도', '완주')"
2059,"('전라북도', '완주')","('전라남도', '순천')"
2060,"('전라남도', '순천')","('전라남도', '화순')"
2061,"('전라남도', '화순')","('전라남도', '순천')"
2062,"('전라남도', '순천')","('대전', '대전')"
2063,"('대전', '대전')","('전라남도', '순천')"
2064,"('전라남도', '순천')","('경기도', '동두천')"
2065,"('경기도', '동두천')","('전라남도', '순천')"
2066,"('전라남도', '순천')","('경상남도', '밀양')"
2067,"('경상남도', '밀양')","('전라남도', '순천')"
2068,"('전라남도', '순천')","('강원도', '철원')"
2069,"('강원도', '철원')","('전라남도', '순천')"
2070,"('전라남도', '순천')","('강원도', '강릉')"
2071,"('강원도', '강릉')","('전라남도', '순천')"
2072,"('전라남도', '순천')","('충청남도', '홍성')"
2073,"('충청남도', '홍성')","('전라남도', '순천')"
2074,"('전라남도', '순천')","('경상북도', '군위')"
2075,"('경상북도', '군위')","('전라남도', '순천')"
2076,"('전라남도', '순천')","('충청남도', '공주')"
2077,"('충청남도', '공주')","('전라남도', '순천')"
2078,"('전라남도', '순천')","('전라남도', '장성')"
2079,"('전라남도', '장성')","('전라남도', '순천')"
2080,"('전라남도', '순천')","('강원도', '동해')"
2081,"('강원도', '동해')","('전라남도', '순천')"
2082,"('전라남도', '순천')","('경기도', '가평')"
2083,"('경기도', '가평')","('전라남도', '순천')"
2084,"('전라남도', '순천')","('강원도', '태백')"
2085,"('강원도', '태백')","('전라남도', '순천')"
2086,"('전라남도', '순천')","('충청북도', '청주')"
2087,"('충청북도', '청주')","('전라남도', '순천')"
2088,"('전라남도', '순천')","('경상북도', '칠곡')"
2089,"('경상북도', '칠곡')","('전라남도', '순천')"
2090,"('전라남도', '순천')","('경기도', '의정부')"
2091,"('경기도', '의정부')","('전라남도', '순천')"
2092,"('전라남도', '순천')","('전라남도', '무안')"
2093,"('전라남도', '무안')","('전라남도', '순천')"
2094,"('전라남도', '순천')","('충청북도', '음성')"
