,terminalId,terminalNm,city
218,NAI1130201,소요산,경기도
219,NAI1130702,동두천역,경기도
220,NAI1130901,미2사단정문,경기도
221,NAI1131201,2사단,경기도
222,NAI1135001,송내4단지,경기도
223,NAI1135002,송내현진A,경기도
224,NAI1135401,롯데슈퍼(동두천),경기도
225,NAI1135402,우리은행(동두천),경기도
226,NAI1135501,송내지구,경기도
227,NAI1135502,생골사거리고용복지센터,경기도
228,NAI1136601,동두천,경기도
229,NAI1136602,동두천,경기도
230,NAI1141901,양주역,경기도
231,NAI1143501,양주경찰서,경기도
232,NAI1144001,덕정사거리,경기도
233,NAI1145001,덕정리,경기도
234,NAI1145801,경동대입구(양주),경기도
235,NAI1146002,현진아파트,경기도
236,NAI1146101,덕계동,경기도
237,NAI1148101,고읍지구,경기도
238,NAI1148102,양주(고읍),경기도
239,NAI1149601,성모병원,경기도
240,NAI1150101,양주,경기도
241,NAI1152001,절골,경기도
242,NAI1152101,장흥,경기도
243,NAI1152301,송추,경기도
244,NAI1152302,송추IC,경기도
245,NAI1161101,안골,경기도
246,NAI1161801,경민대 입구,경기도
247,NAI1162201,의정부시청,경기도
248,NAI1165801,가능3동,경기도
249,NAI1166001,흥선브라운스톤아파트,경기도
250,NAI1166201,덕흥빌딩,경기도
251,NAI1168401,검찰청 입사,경기도
252,NAI1168901,구양주군청,경기도
253,NAI1169601,의정부역,경기도
254,NAI1169602,진로백화점(의정부백화점),경기도
255,NAI1171901,장암주공2단지,경기도
256,NAI1172001,장암(주공),경기도
257,NAI1172801,풍림아파트(의정부),경기도
258,NAI1172802,장암 아파트,경기도
259,NAI1174901,의정부,경기도
260,NAI1174902,의정부(심야),경기도
261,NAI1175001,의정부신도브래뉴정문,경기도
262,NAI1176001,경기도북부청사,경기도
263,NAI1176501,성모병원(의정부),경기도
264,NAI1178001,의정부 제2청사,경기도
265,NAI1181501,민락동,경기도
266,NAI1190101,갈매역,경기도
267,NAI1191401,동구동주민센터(구리),경기도
268,NAI1192001,교문리,경기도
269,NAI1192201,롯데시네마앞(구리시),경기도
270,NAI1192901,구리(교문리),경기도
271,NAI1193001,시외버스정류장(구리),경기도
272,NAI1194401,구리,경기도
273,NAI1195201,금강고속,경기도
274,NAI1196001,구리요금소,경기도
275,NAI1200601,봉현마을(장현),경기도
276,NAI1201001,정광산호A(진접),경기도
277,NAI1201301,장현,경기도
278,NAI1201901,광릉내(진접),경기도
279,NAI1202001,광릉내,경기도
280,NAI1202201,센트레빌(진접),경기도
281,NAI1205501,반도아파트,경기도
282,NAI1205601,남양휴튼,경기도
283,NAI1206601,"진접우체국,남양휴튼",경기도
284,NAI1207401,내각농협(내각리),경기도
285,NAI1207501,반도아파트(진접),경기도
286,NAI1207502,내곡리,경기도
